X_(px),Y_(px),Frame_Number,X_(nm),X_loc_error(nm),Y_(nm),Y_loc_error(nm),Z_(nm),Z_loc_error(nm),Amplitude_fit,Amp_error,BGfit,BGfit_error,SD_X_(nm),SD_X_error(nm),SD_Y_(nm),SD_Y_error(nm),False_positive,IntegratedInt,SNR,R2_fit,Iterations_fit
129.32,142.39,111,21984.63,28.35,24206.37,32.18,0,0,95.17,6.92,346.19,2.72,304.77,25.70,339.87,30.14,0,2072.65,3.69,0.45,5
92.55,160.25,112,15732.73,16.31,27242.72,13.92,0,0,303.95,11.61,366.11,4.36,331.61,14.85,284.22,12.56,0,4874.69,11.75,0.74,3
90.24,162.26,113,15340.06,10.87,27584.75,9.11,0,0,314.99,11.74,381.40,2.77,224.28,9.51,188.10,7.98,1,3990.96,10.46,0.82,4
119.57,87.68,115,20327.43,16.92,14905.91,14.30,0,0,206.86,13.76,366.70,2.79,195.26,14.72,164.93,12.40,1,1705.88,8.70,0.61,5
101.33,12.49,116,17226.12,15.60,2123.75,15.35,0,0,182.70,12.35,350.53,2.44,176.98,13.54,174.12,13.29,1,1728.23,9.65,0.60,5
150.51,147.98,127,25586.31,12.16,25156.31,11.25,0,0,217.06,9.62,382.36,2.24,211.03,10.64,195.25,9.85,0,3967.21,10.37,0.76,4
121.45,163.80,128,20647.34,11.78,27846.67,9.73,0,0,251.47,9.88,357.11,2.39,230.67,10.32,190.46,8.52,0,3465.10,13.37,0.80,4
245.79,231.38,128,41784.24,6.94,39334.03,7.05,0,0,381.77,13.32,332.96,2.28,152.49,6.05,154.13,6.00,1,2847.04,15.32,0.85,5
121.50,163.80,129,20655.08,10.30,27846.18,8.68,0,0,288.83,12.56,350.92,2.35,181.74,8.93,153.45,7.60,1,2647.31,14.76,0.78,5
83.76,176.10,131,14238.37,6.56,29936.95,6.20,0,0,465.54,13.43,380.94,2.56,174.61,5.70,165.29,5.43,1,3557.15,14.10,0.89,4
105.39,114.09,132,17915.59,4.32,19396.13,4.04,0,0,682.01,13.40,372.25,2.45,168.53,3.73,158.16,3.56,1,4363.35,22.98,0.95,5
141.91,28.21,132,24125.05,16.71,4795.36,15.67,0,0,180.52,11.72,358.41,2.56,197.86,14.58,185.55,13.68,1,2026.29,8.44,0.60,4
79.57,164.93,135,13526.51,4.23,28038.16,3.74,0,0,856.03,13.92,403.44,2.97,199.98,3.69,176.64,3.27,1,8383.54,27.21,0.96,4
130.63,158.31,135,22206.92,9.24,26912.00,7.83,0,0,286.13,8.57,351.69,2.17,237.54,8.11,201.33,6.88,0,3791.27,12.23,0.87,4
130.48,158.02,136,22180.77,6.24,26864.07,5.92,0,0,488.77,11.59,367.57,2.61,202.36,5.45,192.02,5.18,0,5282.77,17.84,0.92,4
65.08,157.66,137,11063.72,5.59,26802.39,5.72,0,0,593.92,13.46,395.69,2.94,189.44,4.88,193.95,4.99,1,6234.62,24.74,0.93,4
